,age,age_at_first_birth,feelings_life,sex
222,80,25.5,8,Female
223,61.2,30.5,6,Female
224,56,27.7,8,Male
225,40,34.7,7,Female
226,59.8,21.5,10,Female
227,38.9,31.8,10,Female
228,61.3,24.4,10,Male
229,40.9,20,7,Male
230,73.3,23.8,6,Male
231,30.3,24.4,8,Female
232,62.4,20.7,10,Female
233,46.8,39.1,7,Female
234,36.6,34.1,8,Male
235,47.8,35.5,9,Male
236,63.6,30.1,8,Female
237,56.3,31.7,10,Male
238,37.9,34.8,10,Female
239,72.8,38.8,7,Male
240,36.1,33.3,9,Female
241,37.8,22.9,8,Male
242,80,18,8,Female
243,57.5,42.7,10,Male
244,67.8,22.8,10,Male
245,76.7,28.9,7,Male
246,78,23.5,8,Male
247,72.4,25.7,8,Female
248,80,32.8,5,Female
249,68.8,23.8,8,Male
250,67.2,21.3,5,Female
251,28.3,26.3,8,Female
252,46.7,32.4,5,Female
253,36.3,31.4,10,Male
254,51.5,29.2,8,Male
255,57.5,31.6,9,Female
256,43.8,34.3,9,Female
257,48.6,35.4,9,Female
258,63.7,25.6,10,Male
259,57.7,30.3,8,Female
260,76.4,22.7,5,Male
261,56.2,23.7,10,Female
262,44.4,28,8,Female
263,36.4,22.6,8,Female
264,28,26.3,10,Male
265,64.2,27.5,8,Male
266,75.4,27.1,10,Male
267,80,30.8,8,Female
268,59.7,29.3,8,Female
269,51.7,25.6,8,Female
270,80,20.8,10,Female
271,48.7,31.4,10,Female
272,53.6,29.4,5,Male
273,35.7,21.7,8,Female
274,37.8,25.3,NA,Female
275,69.6,27.6,8,Male
276,59.2,27.1,10,Female
277,80,20.5,9,Male
278,78.8,19.5,8,Female
279,58.1,20.1,10,Male
280,57.9,22.1,9,Female
281,62.4,22.8,6,Female
282,53.6,26,8,Female
283,65.8,22.5,8,Female
284,54.8,27.3,8,Female
285,41.3,20.9,10,Male
286,42.7,30.5,10,Female
287,43.4,30.5,10,Female
288,75.8,21.1,10,Male
289,37.3,25.7,8,Female
290,67.4,20.9,9,Male
291,63.6,19.5,10,Female
292,74.3,18,10,Female
293,67.7,34.1,8,Male
294,43.1,30.5,8,Male
295,55,25.3,7,Female
296,80,27.8,9,Female
297,54.1,19,7,Male
298,74.2,30.5,7,Male
299,45.4,31.4,7,Male
300,31.8,28.5,8,Female
301,40.8,22.3,7,Female
302,36.9,29.6,8,Male
303,62.2,21.8,7,Female
304,68.2,31.9,7,Female
305,69.3,22.4,7,Female
306,54.3,33.8,4,Female
307,46.5,30.4,1,Female
308,65.7,25.3,10,Female
309,80,20.8,8,Female
310,56.8,23.8,7,Female
311,33.2,27.1,7,Male
312,37.3,27.9,10,Female
313,51.7,34.1,5,Male
314,70.8,23.8,8,Female
315,48.2,29.1,7,Female
316,75.7,23.8,8,Female
317,60.3,22.5,6,Female
318,62.5,19.5,8,Male
319,54.1,33.1,8,Male
320,76.9,20.1,5,Female
321,66.4,28.9,8,Male
322,78.8,22.3,6,Female
323,70.9,22.9,10,Male
324,43.9,34.5,8,Female
"Showing 1 to 36 of 12,737 entries, 4 total columns",,,,
